datetime,open,high,low,close,volume
2026-03-02 09:30:00,27.116,27.1553,26.8701,26.8701,1565674.0
2026-03-02 09:35:00,26.8652,27.0225,26.8209,27.0225,755481.0
2026-03-02 09:40:00,27.0238,27.0914,26.9389,27.0373,457208.0
2026-03-02 09:45:00,27.0373,27.1209,26.9979,27.0668,361849.0
2026-03-02 09:50:00,27.0733,27.0963,27.0177,27.054,302863.0
2026-03-02 09:55:00,27.052,27.052,26.9881,27.0274,275553.0
2026-03-02 10:00:00,27.0225,27.0668,26.9586,27.0622,451843.0
2026-03-02 10:05:00,27.0619,27.0864,27.0028,27.0028,327231.0
2026-03-02 10:10:00,27.0063,27.0068,26.934,26.9881,492546.0
2026-03-02 10:15:00,26.993,26.9979,26.934,26.9537,276390.0
2026-03-02 10:20:00,26.9537,26.9542,26.7816,26.7866,490786.0
2026-03-02 10:25:00,26.7865,26.8111,26.7373,26.7717,500739.0
2026-03-02 10:30:00,26.7619,26.8897,26.7619,26.8897,495414.0
2026-03-02 10:35:00,26.8897,26.9242,26.8603,26.8799,526078.0
2026-03-02 10:40:00,26.8848,26.9291,26.8701,26.8947,260286.0
2026-03-02 10:45:00,26.8996,26.9635,26.8996,26.9586,352243.0
2026-03-02 10:50:00,26.962,26.9878,26.9192,26.9242,300878.0
2026-03-02 10:55:00,26.9192,26.9488,26.8897,26.9291,240292.0
2026-03-02 11:00:00,26.934,27.0028,26.934,26.993,316256.0
2026-03-02 11:05:00,26.9979,27.0078,26.9438,26.9635,252539.0
2026-03-02 11:10:00,26.9684,26.9744,26.939,26.9672,241442.0
2026-03-02 11:15:00,26.9586,26.9586,26.9094,26.9488,228516.0
2026-03-02 11:20:00,26.9389,26.9684,26.9193,26.9488,277929.0
2026-03-02 11:25:00,26.9537,26.9979,26.9389,26.993,401819.0
2026-03-02 11:30:00,26.9881,26.9881,26.9192,26.9537,562499.0
2026-03-02 11:35:00,26.9537,26.9783,26.9094,26.9291,580352.0
2026-03-02 11:40:00,26.9291,26.9979,26.9192,26.9832,287818.0
2026-03-02 11:45:00,26.9832,27.0127,26.9783,26.9784,239344.0
2026-03-02 11:50:00,26.9832,26.9881,26.9389,26.9537,224986.0
2026-03-02 11:55:00,26.955,26.9783,26.9513,26.9635,275480.0
2026-03-02 12:00:00,26.9684,26.9783,26.9192,26.9242,225376.0
2026-03-02 12:05:00,26.9242,26.9584,26.9094,26.9143,303891.0
2026-03-02 12:10:00,26.9143,26.918,26.8799,26.8848,192079.0
2026-03-02 12:15:00,26.8799,26.8966,26.8504,26.8601,370135.0
2026-03-02 12:20:00,26.8602,26.8602,26.7717,26.8011,268594.0
2026-03-02 12:25:00,26.7985,26.8406,26.7963,26.8352,212308.0
2026-03-02 12:30:00,26.8356,26.8406,26.7914,26.797,262721.0
2026-03-02 12:35:00,26.8012,26.8307,26.7963,26.8209,170942.0
2026-03-02 12:40:00,26.8258,26.875,26.8209,26.8659,267643.0
2026-03-02 12:45:00,26.8652,26.8995,26.8406,26.8897,412805.0
2026-03-02 12:50:00,26.8926,26.8996,26.8701,26.8799,339461.0
2026-03-02 12:55:00,26.8799,26.8848,26.8504,26.8631,284913.0
2026-03-02 13:00:00,26.8602,26.8799,26.8307,26.8356,263683.0
2026-03-02 13:05:00,26.8356,26.8602,26.8307,26.8503,276125.0
2026-03-02 13:10:00,26.8455,26.8593,26.8209,26.8258,261480.0
2026-03-02 13:15:00,26.8258,26.8362,26.7324,26.7912,432132.0
