datetime,open,high,low,close,volume
2026-04-01 09:30:00,120.88,122.19,120.3416,121.92,264943.0
2026-04-01 09:35:00,121.89,122.08,121.73,121.8451,76416.0
2026-04-01 09:40:00,121.7992,122.0114,121.57,121.7,48240.0
2026-04-01 09:45:00,121.725,122.0,121.52,121.605,151738.0
2026-04-01 09:50:00,121.6025,122.11,121.59,121.9475,53381.0
2026-04-01 09:55:00,121.94,122.06,121.595,121.6475,87602.0
2026-04-01 10:00:00,121.58,121.625,121.11,121.27,53337.0
2026-04-01 10:05:00,121.305,121.41,121.06,121.18,76365.0
2026-04-01 10:10:00,121.1,121.1,120.53,120.6,73804.0
2026-04-01 10:15:00,120.55,120.58,120.37,120.57,48944.0
2026-04-01 10:20:00,120.53,120.8,120.48,120.755,49627.0
2026-04-01 10:25:00,120.73,120.97,120.71,120.97,78633.0
2026-04-01 10:30:00,120.98,121.12,120.92,120.95,70734.0
2026-04-01 10:35:00,120.93,121.17,120.65,121.085,60787.0
2026-04-01 10:40:00,121.085,121.19,121.01,121.16,50392.0
2026-04-01 10:45:00,121.215,121.215,121.1,121.2,30212.0
2026-04-01 10:50:00,121.195,121.23,120.98,120.99,48423.0
2026-04-01 10:55:00,121.015,121.015,120.69,120.76,58895.0
2026-04-01 11:00:00,120.72,120.72,120.53,120.65,35614.0
2026-04-01 11:05:00,120.65,120.7499,120.54,120.65,32462.0
2026-04-01 11:10:00,120.63,120.79,120.61,120.77,36680.0
2026-04-01 11:15:00,120.73,120.88,120.66,120.83,42373.0
2026-04-01 11:20:00,120.845,120.985,120.73,120.875,78411.0
2026-04-01 11:25:00,120.89,120.97,120.74,120.78,59103.0
2026-04-01 11:30:00,120.76,120.835,120.65,120.8,70703.0
2026-04-01 11:35:00,120.8,120.8,120.49,120.605,55772.0
2026-04-01 11:40:00,120.6,120.71,120.47,120.58,63433.0
2026-04-01 11:45:00,120.53,120.83,120.48,120.68,56560.0
2026-04-01 11:50:00,120.66,120.685,120.33,120.3444,85047.0
2026-04-01 11:55:00,120.37,120.605,120.27,120.59,45310.0
2026-04-01 12:00:00,120.615,120.67,120.53,120.63,40298.0
2026-04-01 12:05:00,120.68,120.94,120.64,120.825,75010.0
2026-04-01 12:10:00,120.79,120.79,120.62,120.685,47700.0
2026-04-01 12:15:00,120.72,120.81,120.58,120.65,45810.0
2026-04-01 12:20:00,120.68,120.68,120.42,120.475,37153.0
2026-04-01 12:25:00,120.48,120.59,120.465,120.57,26577.0
2026-04-01 12:30:00,120.565,120.88,120.47,120.84,45842.0
2026-04-01 12:35:00,120.84,120.85,120.665,120.82,24298.0
2026-04-01 12:40:00,120.79,121.07,120.79,121.07,43287.0
2026-04-01 12:45:00,121.105,121.17,121.01,121.155,31539.0
